Re,Im,IPR
0.2,1.3,0.38836761158268196
0.2,1.35,0.4167683895552631
0.2,1.4,0.4423445030809812
0.2,1.45,0.46550175355166246
0.2,1.5,0.48656147474393185
0.2,1.55,0.5058039128449918
0.2,1.6,0.5234416907182808
0.2,1.65,0.5396748778604318
0.2,1.7,0.5546652475100945
0.2,1.75,0.5686151354499145
0.2,1.8,0.5816074200007668
0.2,1.85,0.5937564946672065
0.2,1.9,0.6051547499143486
0.2,1.95,0.6159217235391322
0.2,2.0,0.6260827055308121
0.2,2.05,0.6356880617609397
0.2,2.1,0.644793558435892
0.2,2.15,0.6534455577477938
0.2,2.2,0.6616830280789016
0.2,2.25,0.6695390794434521
0.2,2.3,0.6770422221517236
0.2,2.35,0.6842173670268445
0.2,2.4,0.6910868883526359
0.2,2.45,0.6976714213968599
0.2,2.5,0.7039898108094199
0.25,0.0,0.0007365650453648404
0.25,0.05,0.0007353229804401603
0.25,0.1,0.0007321316609421497
0.25,0.15,0.0007297078373057068
0.25,0.2,0.0007314889789607739
0.25,0.25,0.0007402037434996023
0.25,0.3,0.0007594678608338958
0.25,0.35,0.0007862507952756644
0.25,0.4,0.0008208504509904894
0.25,0.45,0.0008636337968406733
0.25,0.5,0.0009155543785583373
0.25,0.55,0.0009775771802956212
0.25,0.6,0.0010509118826960025
0.25,0.65,0.001138741364684506
0.25,0.7,0.0012451559864175832
0.25,0.75,0.001376911336315202
0.25,0.8,0.001543879412901336
0.25,0.85,0.0017669628325993596
0.25,0.9,0.0021303928014479003
0.25,0.95,0.0034557111090332895
0.25,1.0,0.1111718431581608
0.25,1.05,0.1894425452817354
0.25,1.1,0.24612975035064646
0.25,1.15,0.29231977098283607
0.25,1.2,0.3316011661386272
0.25,1.25,0.3659215762283805
0.25,1.3,0.3964257312352068
0.25,1.35,0.4238572233299835
0.25,1.4,0.4486484193859978
0.25,1.45,0.47114734200109376
0.25,1.5,0.4916804725420338
0.25,1.55,0.5105317685084486
0.25,1.6,0.5278242808956616
0.25,1.65,0.5437219380139511
0.25,1.7,0.5584194203418413
0.25,1.75,0.5720900419100776
0.25,1.8,0.5848535050003583
0.25,1.85,0.5968090550833282
0.25,1.9,0.6080411343606124
0.25,1.95,0.6186373920104294
0.25,2.0,0.6286434490535584
0.25,2.05,0.6381062504763654
0.25,2.1,0.6470775919338191
0.25,2.15,0.6556026989790131
0.25,2.2,0.6637203464959852
0.25,2.25,0.671463886034703
0.25,2.3,0.6788621443633389
0.25,2.35,0.685940221796542
0.25,2.4,0.6927202260447978
0.25,2.45,0.699221828471554
0.25,2.5,0.7054625236498213
0.3,0.0,0.0007761428790609509
0.3,0.05,0.0007748896950503274
0.3,0.1,0.0007716381371968167
0.3,0.15,0.0007682212369575844
0.3,0.2,0.0007686246661613685
0.3,0.25,0.0007752477362704284
0.3,0.3,0.0007908449462788038
0.3,0.35,0.0008187236063994168
0.3,0.4,0.0008550312209557771
0.3,0.45,0.0008995359191648731
0.3,0.5,0.0009527795293910368
0.3,0.55,0.0010163518210672912
0.3,0.6,0.0010913073440328635
0.3,0.65,0.0011823486622253303
0.3,0.7,0.0012970687365591008
0.3,0.75,0.0014479465940553144
0.3,0.8,0.0016614889455049688
0.3,0.85,0.0019764411103454383
0.3,0.9,0.002477385401704298
0.3,0.95,0.006274609199494299
0.3,1.0,0.13943374595904495
0.3,1.05,0.20958046933844204
0.3,1.1,0.2625122601579561
0.3,1.15,0.30611767651152694
0.3,1.2,0.3436952455715018
0.3,1.25,0.3766445822708374
0.3,1.3,0.40591365669239843
0.3,1.35,0.4322035401270194
0.3,1.4,0.4560519289130035
0.3,1.45,0.4777538039432105
0.3,1.5,0.4975869435773681
0.3,1.55,0.5158234920954557
0.3,1.6,0.5326611348035042
0.3,1.65,0.5481721669911728
0.3,1.7,0.5625289772688048
0.3,1.75,0.5758942368641577
0.3,1.8,0.5884110523815356
0.3,1.85,0.600166887745752
0.3,1.9,0.6112156383082187
0.3,1.95,0.6216280718606013
0.3,2.0,0.6314624015017261
0.3,2.05,0.6407687602931452
0.3,2.1,0.6495944989376934
0.3,2.15,0.657982611681709
0.3,2.2,0.6659712322851385
0.3,2.25,0.6735937224873767
0.3,2.3,0.6808790489645783
0.3,2.35,0.6878522934054069
0.3,2.4,0.6945351574021057
0.3,2.45,0.7009464527152859
0.3,2.5,0.7071026086876209
0.35,0.0,0.0008190758832574858
0.35,0.05,0.0008176443510670994
0.35,0.1,0.0008138947699862125
0.35,0.15,0.0008097555116067718
0.35,0.2,0.0008087055253422663
0.35,0.25,0.0008144249290854466
0.35,0.3,0.0008273653383804021
0.35,0.35,0.0008519623082504247
0.35,0.4,0.0008896290832999522
0.35,0.45,0.0009361785849651393
0.35,0.5,0.0009910036636470506
0.35,0.55,0.001055479960918934
0.35,0.6,0.0011308275129423228
0.35,0.65,0.0012217570496607746
0.35,0.7,0.00133624909362271
0.35,0.75,0.0014944136340806202
0.35,0.8,0.0017414112409279813
0.35,0.85,0.00216772008224702
0.35,0.9,0.003185715030520147
0.35,0.95,0.07462097575472713
0.35,1.0,0.17123246781792836
0.35,1.05,0.23285939034324324
0.35,1.1,0.281370865862507
0.35,1.15,0.3218761438275248
0.35,1.2,0.3571743869465606
0.35,1.25,0.3882365052142148
0.35,1.3,0.41608098987564646
0.35,1.35,0.4412191523376223
0.35,1.4,0.46410984702694147
0.35,1.45,0.4850537408964573
0.35,1.5,0.5041828179644716
0.35,1.55,0.521792596309866
0.35,1.6,0.5380337489901017
0.35,1.65,0.5530427629826143
0.35,1.7,0.5669832741908003
0.35,1.75,0.5800022662651841
0.35,1.8,0.5922435610106588
0.35,1.85,0.6037857058288864
0.35,1.9,0.6146272935375513
0.35,1.95,0.624844870139936
0.35,2.0,0.6344987948695556
0.35,2.05,0.6436392828380031
0.35,2.1,0.652310357029217
0.35,2.15,0.6605528807456376
0.35,2.2,0.6684044770351214
0.35,2.25,0.675898498025523
0.35,2.3,0.6830639702417868
0.35,2.35,0.6899259130898332
0.35,2.4,0.6965056115366778
0.35,2.45,0.7028210009301658
0.35,2.5,0.7088874154851919
0.4,0.0,0.0008660890193398095
0.4,0.05,0.0008642915639174607
0.4,0.1,0.0008595061898405541
0.4,0.15,0.0008543581119169482
0.4,0.2,0.0008526000287955446
0.4,0.25,0.0008565357906808816
0.4,0.3,0.0008691360235572433
0.4,0.35,0.0008904723141881073
0.4,0.4,0.0009266812383420122
0.4,0.45,0.0009757190428473386
0.4,0.5,0.0010334591871174312
0.4,0.55,0.0010998498362350885
0.4,0.6,0.001177332642834303
0.4,0.65,0.001269150828492821
0.4,0.7,0.0013848883180424252
0.4,0.75,0.0015394949500998464
0.4,0.8,0.0017855627338717061
0.4,0.85,0.0022495768923344356
0.4,0.9,0.0037153787417129676
0.4,0.95,0.12086055356220445
0.4,1.0,0.2005377449603472
0.4,1.05,0.25545688838047786
0.4,1.1,0.2998464436529592
0.4,1.15,0.3376943400489973
0.4,1.2,0.37083238647095407
0.4,1.25,0.4002737384997253
0.4,1.3,0.4267331138359554
0.4,1.35,0.45070456439934325
0.4,1.4,0.47260596863044463
0.4,1.45,0.49263489969069496
0.4,1.5,0.5110398290112629
0.4,1.55,0.5280667653288779
0.4,1.6,0.5437656780123367
0.4,1.65,0.5583147360031937
0.4,1.7,0.5718460083797925
0.4,1.75,0.5844995574717394
0.4,1.8,0.5964059855351141
0.4,1.85,0.6076493857498941
0.4,1.9,0.6182532533343312
