re,im,fd
-0.18680974050096263,-0.15191111774225044,0.8616829072702319
-0.18546160144641277,-0.15253235988637107,0.8568674662193309
-0.18423160690033302,-0.1531390736113806,0.8516473504468824
-0.18314233676938535,-0.15371566780892992,0.8461749341506648
-0.18221654672977816,-0.15424136507990482,0.8407195324496566
-0.1814749962218399,-0.1546910378812429,0.8356771705075553
-0.18093432305521132,-0.15503782811247596,0.8315383757818705
-0.18060584903454135,-0.15525738702836633,0.828800470295436
-0.16797731656434695,-0.156222547682179,0.44925209747900696
-0.14298818199415633,-0.15090577610065806,0.8640697831943333
-0.1426588558532364,-0.15111044157760564,0.8654463713899331
-0.1421141610000636,-0.15143986170906637,0.8676430403359014
-0.1413609701110081,-0.15187744486147978,0.8704924303041919
-0.14040998146958805,-0.15240243592858,0.8737612710494357
-0.13927596392175384,-0.15299278022635882,0.877196226015486
-0.13797696699473389,-0.15362800810555796,0.8805758864277988
-0.13653270630171152,-0.15429117221260508,0.8837418460105328
-0.13496281459612983,-0.15496951544976298,0.886603231481139
-0.1332855185528892,-0.15565417171729054,0.8891242534665423
-0.13151691810545757,-0.1563394010937314,0.8913065754509821
-0.12967077003039412,-0.15702174656911377,0.8931731626016142
-0.12775858930249773,-0.15769930907491192,0.8947573768080396
-0.1257899047056299,-0.15837119788558357,0.8960954415240855
-0.12377256429037413,-0.15903714534053806,0.8972233291517602
-0.12171302895388295,-0.15969724785955014,0.8981782728611145
-0.11961663350441629,-0.160351799601312,0.8991106113113855
-0.11748780513504234,-0.16100118755468917,0.8995519140766749
-0.115330242030792,-0.16164582744414097,0.9001239419352799
-0.11314705689597145,-0.16228612557511404,0.9005852663078838
-0.11094088440125519,-0.16292245257193844,0.9009632867832866
-0.10871402036606355,-0.16355516654621832,0.9012728026964781
-0.10646838492225968,-0.1641845229413158,0.9015235417579307
-0.1042057062732825,-0.1648107744953865,0.9017241445948487
-0.10192749723177584,-0.16543411011930925,0.9018817015191654
-0.09963511308293428,-0.1660546725380882,0.9020021504303682
-0.09732978651036812,-0.1666725588562456,0.902090586598847
-0.09501266233951865,-0.1672878209236778,0.9021512523301725
-0.09268483942070813,-0.1679004633142456,0.9021886441256033
-0.09034743957210964,-0.1685104345917427,0.9022063230971041
-0.08800177055485389,-0.16911759660229111,0.9022082055189818
