re,im,χ
-4.2,-0.08,1.3762458695127353
-4.2,-0.06,1.3746445209830365
-4.2,-0.04,1.3741424373128113
-4.2,-0.02,1.374377105612585
-4.2,0.0,1.3705317820740153
-4.2,0.02,1.3723184478852852
-4.2,0.04,1.3733074029393884
-4.2,0.06,1.372477577910631
-4.2,0.08,1.371457547107454
-4.2,0.1,1.3747568982740472
-4.2,0.12,1.3730863710123258
-4.2,0.14,1.3731586443667987
-4.2,0.16,1.3741788453956703
-4.2,0.18,1.377713042678764
-4.2,0.2,1.3741158009420147
-4.2,0.22,1.3750252213906433
-4.2,0.24,1.3734002923794606
-4.2,0.26,1.3758885522594477
-4.2,0.28,1.3729365143547323
-4.2,0.3,1.3758366793795496
-4.2,0.32,1.3764834732163997
-4.2,0.34,1.3764456046821791
-4.2,0.36,1.3776401045344657
-4.2,0.38,1.3760338852776122
-4.2,0.4,1.3806857253315812
-4.2,0.42,1.3818890931160435
-4.2,0.44,1.3803409885824938
-4.2,0.46,1.3795182405693076
-4.2,0.48,1.3806001533121488
-4.2,0.5,1.3817200306317678
-4.2,0.52,1.3863895023783264
-4.2,0.54,1.387265213678195
-4.2,0.56,1.3836024777125207
-4.2,0.58,1.3892262550957897
-4.2,0.6,1.3877268087839707
-4.2,0.62,1.3905689093388327
-4.2,0.64,1.3879904959653229
-4.2,0.66,1.3901760347196843
-4.2,0.68,1.3916544990411421
-4.2,0.7,1.3929457049542529
-4.2,0.72,1.3939989615360022
-4.2,0.74,1.3954830196102235
-4.2,0.76,1.3976916407176003
-4.2,0.78,1.3986024775483814
-4.2,0.8,1.395202395663066
-4.2,0.82,1.3997195970380154
-4.2,0.84,1.4013060152730272
-4.2,0.86,1.400926846455106
-4.2,0.88,1.4056795116873242
-4.2,0.9,1.4050470172143898
-4.2,0.92,1.4079032599944823
-4.2,0.94,1.404717631780098
-4.2,0.96,1.4067511852970551
-4.2,0.98,1.4103140599391146
-4.2,1.0,1.410554135355392
-4.2,1.02,1.4102369544726745
-4.2,1.04,1.4170709359213276
-4.2,1.06,1.4148370988036378
-4.2,1.08,1.4195130607350541
-4.2,1.1,1.4223269315173188
-4.2,1.12,1.420849066428761
-4.2,1.14,1.422249121156283
-4.2,1.16,1.4225557556868478
-4.2,1.18,1.4271580558266803
-4.2,1.2,1.429842071272879
-4.2,1.22,1.429170339956947
-4.2,1.24,1.4312765880445877
-4.2,1.26,1.4317191197533732
-4.2,1.28,1.4347972049965467
-4.2,1.3,1.4345134397673076
-4.2,1.32,1.4398665371477526
-4.2,1.34,1.438738741284462
-4.2,1.36,1.4396423073918692
-4.2,1.38,1.4420895338428248
-4.2,1.4,1.4457237485933563
-4.2,1.42,1.4476969924870102
-4.2,1.44,1.450616587118791
-4.2,1.46,1.4504739990142634
-4.2,1.48,1.453348658485084
-4.2,1.5,1.4547556126828594
-4.2,1.52,1.455970276857245
-4.2,1.54,1.460448370277686
-4.2,1.56,1.4626958099895842
-4.2,1.58,1.4638919651736086
-4.2,1.6,1.4671037150185695
-4.2,1.62,1.4657822630665678
-4.2,1.64,1.4706302531344502
-4.2,1.66,1.472826929957032
-4.2,1.68,1.4731165159061517
-4.2,1.7,1.4751052897640757
-4.2,1.72,1.4793827584613994
