re,im,χ
-0.53,0.14,0.5569700162930186
-0.53,0.15,0.5615614251246843
-0.53,0.16,0.5661619683564357
-0.53,0.17,0.5707675328486337
-0.53,0.18,0.5753744446391811
-0.53,0.19,0.5799794274263279
-0.53,0.2,0.5845795643713901
-0.53,0.21,0.5891722631310027
-0.53,0.22,0.593755223974359
-0.53,0.23,0.5983264108072266
-0.53,0.24,0.6028840249059373
-0.53,0.25,0.6074264811569038
-0.53,0.26,0.6119523865976445
-0.53,0.27,0.6164605210606099
-0.53,0.28,0.6209498197304125
-0.53,0.29,0.6254193574362309
-0.53,0.3,0.6298683345135859
-0.53,0.31,0.6342960640825062
-0.53,0.32,0.638701960602001
-0.53,0.33,0.6430855295729789
-0.53,0.34,0.6474463582738087
-0.53,0.35,0.6517841074235561
-0.53,0.36,0.6560985036783336
-0.53,0.37,0.6603893328756004
-0.53,0.38,0.6646564339499008
-0.53,0.39,0.6688996934513209
-0.53,0.4,0.673119040605141
-0.53,0.41,0.6773144428574617
-0.53,0.42,0.681485901857386
-0.53,0.43,0.6856334498315396
-0.53,0.44,0.6897571463113392
-0.53,0.45,0.6938570751774654
-0.53,0.46,0.697933341989946
-0.53,0.47,0.7019860715752486
-0.53,0.48,0.7060154058450582
-0.53,0.49,0.7100215018238246
-0.53,0.5,0.7140045298646814
-0.53,0.51,0.7179646720353128
-0.53,0.52,0.7219021206573847
-0.53,0.53,0.7258170769846631
-0.53,0.54,0.7297097500065599
-0.53,0.55,0.7335803553651865
-0.53,0.56,0.7374291143751185
-0.53,0.57,0.7412562531361953
-0.53,0.58,0.7450620017306647
-0.53,0.59,0.7488465934967908
-0.53,0.6,0.7526102643718205
-0.53,0.61,0.7563532522979732
-0.53,0.62,0.7600757966855355
-0.53,0.63,0.7637781379280147
-0.53,0.64,0.7674605169644547
-0.53,0.65,0.7711231748847538
-0.53,0.66,0.7747663525740244
-0.53,0.67,0.7783902903925881
-0.53,0.68,0.7819952278882345
-0.53,0.69,0.785581403538108
-0.53,0.7,0.7891490545173585
-0.53,0.71,0.7926984164923017
-0.53,0.72,0.7962297234359073
-0.53,0.73,0.7997432074635873
-0.53,0.74,0.8032390986875679
-0.53,0.75,0.8067176250881334
-0.53,0.76,0.8101790124002977
-0.53,0.77,0.8136234840145338
-0.53,0.78,0.8170512608903181
-0.53,0.79,0.8204625614813731
-0.53,0.8,0.8238576016715434
-0.53,0.81,0.8272365947203856
-0.53,0.82,0.8305997512176412
-0.53,0.83,0.8339472790457253
-0.53,0.84,0.8372793833495804
-0.53,0.85,0.8405962665132057
-0.53,0.86,0.8438981281422624
-0.53,0.87,0.8471851650522135
-0.53,0.88,0.8504575712614677
-0.53,0.89,0.8537155379890998
-0.53,0.9,0.8569592536566719
-0.53,0.91,0.8601889038938059
-0.53,0.92,0.8634046715471763
-0.53,0.93,0.8666067366925106
-0.53,0.94,0.8697952766493598
-0.53,0.95,0.8729704659983502
-0.53,0.96,0.8761324766006938
-0.53,0.97,0.8792814776196527
-0.53,0.98,0.8824176355437793
-0.53,0.99,0.8855411142118165
-0.53,1.0,0.8886520748389048
-0.53,1.01,0.8917506760441429
-0.53,1.02,0.8948370738791331
-0.53,1.03,0.8979114218575837
-0.53,1.04,0.9009738709856491
-0.53,1.05,0.9040245697930692
-0.53,1.06,0.9070636643648341
-0.53,1.07,0.9100912983734226
-0.53,1.08,0.9131076131114134
-0.53,1.09,0.9161127475244659
-0.53,1.1,0.9191068382445324
-0.53,1.11,0.92209001962331
-0.53,1.12,0.9250624237657391
-0.53,1.13,0.9280241805637057
-0.53,1.14,0.930975417729608
-0.53,1.15,0.9339162608300386
-0.53,1.16,0.9368468333193198
-0.53,1.17,0.9397672565729375
-0.53,1.18,0.9426776499208497
-0.53,1.19,0.9455781306805923
-0.53,1.2,0.9484688141902347
-0.53,1.21,0.951349813841017
-0.53,1.22,0.9542212411098
-0.53,1.23,0.9570832055912344
-0.53,1.24,0.9599358150295415
-0.53,1.25,0.9627791753501513
-0.53,1.26,0.9656133906908202
-0.53,1.27,0.9684385634325527
-0.53,1.28,0.9712547942300913
-0.53,1.29,0.9740621820420423
-0.53,1.3,0.9768608241606824
-0.53,1.31,0.9796508162413291
-0.53,1.32,0.9824322523313234
-0.53,1.33,0.9852052248986707
-0.53,1.34,0.9879698248602113
-0.53,1.35,0.9907261416094388
-0.53,1.36,0.9934742630439246
-0.53,1.37,0.9962142755922432
-0.53,1.38,0.9989462642406306
-0.53,1.39,1.0016703125591044
-0.53,1.4,1.00438650272724
-0.53,1.41,1.007094915559551
-0.53,1.42,1.0097956305303935
-0.53,1.43,1.0124887257985384
-0.53,1.44,1.0151742782313022
-0.53,1.45,1.01785236342826
-0.53,1.46,1.0205230557446232
-0.53,1.47,1.0231864283140957
-0.53,1.48,1.0258425530715005
-0.53,1.49,1.0284915007748814
-0.53,1.5,1.0311333410272772
-0.53,1.51,1.0337681422981007
-0.53,1.52,1.0363959719441351
-0.53,1.53,1.0390168962301705
-0.53,1.54,1.0416309803492525
-0.53,1.55,1.0442382884425565
-0.53,1.56,1.046838883618927
-0.53,1.57,1.0494328279740381
-0.53,1.58,1.052020182609218
-0.53,1.59,1.0546010076499113
-0.53,1.6,1.057175362263776
-0.53,1.61,1.0597433046785194
-0.5,-0.51,0.5693349965402505
-0.5,-0.5,0.5646010216261912
-0.5,-0.49,0.5598673934784868
-0.5,-0.48,0.555135692486675
-0.5,-0.47,0.5504076639983891
-0.5,-0.46,0.5456852379883408
-0.5,-0.45,0.5409705511905177
-0.5,-0.44,0.5362659719877055
-0.5,-0.43,0.5315741283800719
-0.5,-0.42,0.5268979393815635
-0.5,-0.41,0.5222406502171271
-0.5,-0.4,0.5176058717129078
-0.5,-0.39,0.5129976242817671
-0.5,-0.38,0.5084203869022139
-0.5,-0.37,0.5038791514629136
-0.5,-0.36,0.4993794827873207
-0.5,-0.35,0.49492758455013985
-0.5,-0.34,0.4905303711316419
-0.5,-0.33,0.4861955452047033
-0.5,-0.32,0.4819316804839363
-0.5,-0.31,0.4777483085519639
-0.5,-0.3,0.47365600797369084
-0.5,-0.29,0.46966649297138613
-0.5,-0.28,0.4657926977174028
-0.5,-0.27,0.46204885077346874
-0.5,-0.26,0.4584505323553705
-0.5,-0.25,0.4550147049648741
-0.5,-0.24,0.45175970562047313
-0.5,-0.23,0.448705185662747
-0.5,-0.22,0.4458719822957427
-0.5,-0.21,0.4432819052258441
-0.5,-0.2,0.4409574227358065
-0.5,-0.19,0.43892123516268233
-0.5,-0.18,0.4371957308648304
-0.5,-0.17,0.43580233085422604
-0.5,-0.16,0.43476074309230717
-0.5,-0.15,0.4340881646350417
-0.5,-0.14,0.4337984866746935
