ime,idos
3.829,0.16891121947617244
3.83,0.2193190458871878
3.831,0.16643187062184223
3.832,0.22633428430164004
3.833,0.16948546489548783
3.834,0.22391332951275295
3.835,0.1641932757413607
3.836,0.228261905211305
3.837,0.16780803451126036
3.838,0.2210106406938957
3.839,0.17411217101529053
3.84,0.22476915483605542
3.841,0.1746128127526261
3.842,0.22188263054969082
3.843,0.1708076551639115
3.844,0.22944428156126562
3.845,0.16850704415711684
3.846,0.2222542465744698
3.847,0.16968450618991496
3.848,0.23046274976275993
3.849,0.17308616328231366
3.85,0.22367469622416788
3.851,0.1797629619890655
3.852,0.22733533154679664
3.853,0.17990960260415537
3.854,0.22331529441083867
3.855,0.17921081387793064
3.856,0.22859843364655114
3.857,0.17521875426555025
3.858,0.2240297217283331
3.859,0.17572107902498932
3.86,0.23558493480970855
3.861,0.1766904251783655
3.862,0.22738163669174405
3.863,0.18577196188181866
3.864,0.23026739173798855
3.865,0.18456410453301098
3.866,0.22454378094343472
3.867,0.18988565025367277
3.868,0.22594010502833956
3.869,0.18451690916109229
3.87,0.2336292182651194
3.871,0.1895372543893205
3.872,0.22912639356091477
3.873,0.18611057838386705
3.874,0.23302103853027573
3.875,0.18913264505156147
3.876,0.22469029570828716
3.877,0.1892812006051189
3.878,0.22968385715483633
3.879,0.19562772544468532
3.88,0.2246189215538626
3.881,0.20087510059904162
3.882,0.22879065617032893
3.883,0.2010968878715006
3.884,0.22425960136165957
3.885,0.2027494278806554
3.886,0.22751496881303568
3.887,0.19802180240098305
3.888,0.2339611996934473
3.889,0.2038234372809716
3.89,0.22964653229620743
3.891,0.20162373787865243
3.892,0.23164778455532054
3.893,0.20529870733476732
3.894,0.22341684722927385
3.895,0.2057031731671363
3.896,0.22951234134252818
3.897,0.21104435608252048
3.898,0.22438308588361391
3.899,0.21781512306713555
3.9,0.22818603085026926
3.901,0.21653463795276362
3.902,0.22273095842074345
3.903,0.22288570587720077
3.904,0.22204605772771682
3.905,0.21674167943431105
3.906,0.22127847235048742
3.907,0.22801604919745336
3.908,0.22116720351106037
3.909,0.22618514362235656
3.91,0.2254699327229492
3.911,0.23316364324906133
3.912,0.2200432462703712
3.913,0.23123167328783395
3.914,0.22416994399107312
3.915,0.22994977177163872
3.916,0.22658025529925752
3.917,0.23775729761064707
3.918,0.22233596191024335
3.919,0.23593709744002678
3.92,0.22496060491003875
3.921,0.23828599973052234
3.922,0.21550876478679332
3.923,0.2427009995038612
3.924,0.2226797469765642
3.925,0.24466205509639102
3.926,0.22010563838676875
3.927,0.25333300714379153
3.928,0.21940435871019487
3.929,0.251686641982024
3.93,0.21831701042450216
3.931,0.2567084409209719
3.932,0.20889787773117519
3.933,0.26062779925541574
3.934,0.21475761195591392
3.935,0.26463009258710757
3.936,0.21093837768102622
3.937,0.2750832206484026
3.938,0.20790990092664294
3.939,0.27589266004572316
3.94,0.20355466793328422
3.941,0.28537635400423617
3.942,0.20325540087233554
3.943,0.28329918894135864
3.944,0.22092178215937444
3.945,0.24979076725316676
3.946,0.33737385069715237
3.947,0.25304286444118546
3.948,-0.0009343271101688236
3.949,0.351257717942367
3.95,0.3100574809774121
3.951,0.22681145497706462
3.952,0.256956878888864
3.953,0.2591853342172105
3.954,0.23744297088581914
3.955,0.26900114631934713
3.956,0.23257158141020112
3.957,0.27581778758358394
3.958,0.22867233851115643
3.959,0.2910548528976653
3.96,0.21855097104178223
3.961,0.2939260156887632
3.962,0.21854863903491756
3.963,0.2920958013530155
3.964,0.21442293006074153
3.965,0.306598663101736
3.966,0.20769831186535925
3.967,0.3185232102219269
3.968,0.21318034155790508
3.969,0.30986311331927047
3.97,0.21536818579554926
3.971,0.3125967525527987
3.972,0.21294682474345733
3.973,0.3088387310888425
3.974,0.2248459208165803
3.975,0.3076812149670667
3.976,0.22916395921375482
3.977,0.3140061498757312
3.978,0.2282250391368397
3.979,0.3105419647380855
3.98,0.23388371702076013
3.981,0.3087945704041934
3.982,0.2426907524482361
3.983,0.3081219501137411
3.984,0.24296974747072925
3.985,0.30757801697212456
3.986,0.24466544272182697
3.987,0.3006243568297092
3.988,0.2576688059168756
3.989,0.30013679203097776
3.99,0.2627993896614411
3.991,0.3059356540519754
3.992,0.2615962359461436
3.993,0.3041608427240489
3.994,0.2665022762671731
3.995,0.29452539188452803
3.996,0.27745324437204644
3.997,0.2961620801070409
3.998,0.283638635230616
3.999,0.29991402661472494
4.0,0.2859023454436578
4.001,0.2969126484883803
4.002,0.29093722448278636
4.003,0.29625568333797714
4.004,0.30157613602702554
4.005,0.292181192235351
4.006,0.3060086484137857
4.007,0.289650349866452
4.008,0.30516274477225397
4.009,0.29162324520644783
4.01,0.3149370111318239
4.011,0.2910779711714267
4.012,0.32714939798646797
4.013,0.2845886512565934
4.014,0.3340231262709477
4.015,0.28198954408190513
4.016,0.3412815128500213
4.017,0.28720224839339453
4.018,0.34076399486379694
4.019,0.28558182111079233
4.02,0.3452138157049147
4.021,0.27913603446078555
4.022,0.3589737409025931
4.023,0.2798154446214236
4.024,0.36913484975515326
4.025,0.27733978965831835
4.026,0.3756991429933096
4.027,0.27301648039238624
4.028,0.37609850828279817
4.029,0.27730068473377434
4.03,0.3869982584782365
4.031,0.2769040090600314
4.032,0.39939752541556095
4.033,0.27275254221474093
4.034,0.4019809661161878
4.035,0.2780267060325742
4.036,0.40949604890546143
4.037,0.2818261453240437
4.038,0.40229951229059435
4.039,0.28752605843993895
4.04,0.401496244739278
4.041,0.29855231592310505
4.042,0.40713143459080214
4.043,0.31039985182822344
