re,im,χ
-2.0,0.07,0.37274794595652466
-2.0,0.08,0.37914308538484986
-2.0,0.09,0.3854621787373426
-2.0,0.1,0.3917053100920793
-2.0,0.11,0.3978730630850715
-2.0,0.12,0.4039663877090007
-2.0,0.13,0.40998649905527906
-2.0,0.14,0.41593480019932394
-2.0,0.15,0.42181282341099
-2.0,0.16,0.4276221853300265
-2.0,0.17,0.43336455282370623
-2.0,0.18,0.43904161704265954
-2.0,0.19,0.4446550737870486
-2.0,0.2,0.4502066087417175
-2.0,0.21,0.45569788647522624
-2.0,0.22,0.46113054235217854
-2.0,0.23,0.46650617670185396
-2.0,0.24,0.47182635073386475
-2.0,0.25,0.47709258380510444
-2.0,0.26,0.48230635172952835
-2.0,0.27,0.48746908588997095
-2.0,0.28,0.492582172963563
-2.0,0.29,0.4976469551132944
-2.0,0.3,0.5026647305300275
-2.0,0.31,0.5076367542344228
-2.0,0.32,0.5125642390677072
-2.0,0.33,0.5174483568158331
-2.0,0.34,0.5222902394236
-2.0,0.35,0.5270909802650244
-2.0,0.36,0.5318516354438653
-2.0,0.37,0.5365732251040902
-2.0,0.38,0.5412567347349951
-2.0,0.39,0.5459031164593346
-2.0,0.4,0.550513290295819
-2.0,0.41,0.555088145389758
-2.0,0.42,0.5596285412073432
-2.0,0.43,0.5641353086906516
-2.0,0.44,0.5686092513714718
-2.0,0.45,0.5730511464430593
-2.0,0.46,0.5774617457894722
-2.0,0.47,0.5818417769727937
-2.0,0.48,0.5861919441788208
-2.0,0.49,0.5905129291222357
-2.0,0.5,0.5948053919123125
-2.0,0.51,0.5990699718805068
-2.0,0.52,0.6033072883713446
-2.0,0.53,0.6075179414979865
-2.0,0.54,0.6117025128640313
-2.0,0.55,0.6158615662529996
-2.0,0.56,0.6199956482869867
-2.0,0.57,0.6241052890559209
-2.0,0.58,0.6281910027188533
-2.0,0.59,0.6322532880786594
-2.0,0.6,0.6362926291314086
-2.0,0.61,0.6403094955917408
-2.0,0.62,0.644304343395416
-2.0,0.63,0.648277615180204
-2.0,0.64,0.6522297407462232
